Link,SIC Code,Description,Assessments,Recommendations,Recommended $ Savings
,3561,Pumps And Pumping Equipment,83,617,"$5,291,452"
,3562,Ball And Roller Bearings,56,432,"$6,921,291"
,3563,Air And Gas Compressors,28,168,"$1,562,716"
,3564,Blowers And Fans,80,662,"$5,398,514"
,3565,Packaging Machinery,24,175,"$2,615,154"
,3566,"Speed Changers, Drives, And Gears",32,261,"$3,662,396"
,3567,Industrial Furnaces And Ovens,22,179,"$1,078,788"
,3568,"Power Transmission Equipment, Nec",36,286,"$2,906,074"
,3569,"General Industrial Machinery, Nec",63,458,"$3,814,724"
,3571,Electronic Computers,11,71,"$2,071,112"
,3572,Computer Storage Devices,15,104,"$806,024"
,3575,Computer Terminals,5,35,"$311,959"
,3577,"Computer Peripheral Equipment, Nec",19,134,"$1,708,861"
,3578,Calculating And Accounting Equipment,7,54,"$398,189"
,3579,"Office Machines, Nec",4,28,"$52,997"
,3581,Automatic Vending Machines,6,38,"$364,298"
,3582,Commercial Laundry Equipment,10,72,"$258,904"
,3585,Refrigeration And Heating Equipment,136,"1,041","$12,388,016"
,3586,Measuring And Dispensing Pumps,3,30,"$211,996"
,3589,"Service Industry Machinery, Nec",60,429,"$4,578,606"
,3592,"Carburetors, Pistons, Rings, Valves",15,117,"$1,282,992"
,3593,Fluid Power Cylinders & Actuators,34,234,"$2,381,841"
,3594,Fluid Power Pumps And Motors,16,105,"$1,041,398"
,3596,"Scales And Balances, Exc. Laboratory",7,47,"$264,187"
,3599,"Industrial Machinery, Nec",226,"1,584","$17,210,134"
,3612,"Transformers, Except Electronic",48,353,"$4,016,488"
,3613,Switchgear And Switchboard Apparatus,45,354,"$3,430,198"
,3621,Motors And Generators,72,553,"$4,505,039"
,3624,Carbon And Graphite Products,24,184,"$6,952,399"
,3625,Relays And Industrial Controls,44,329,"$1,474,217"
,3629,"Electrical Industrial Apparatus, Nec",28,206,"$6,120,024"
,3631,Household Cooking Equipment,8,56,"$808,966"
,3632,Household Refrigerators And Freezers,5,46,"$1,850,103"
,3633,Household Laundry Equipment,6,42,"$1,286,790"
,3634,Electric Housewares And Fans,24,169,"$1,258,417"
,3635,Household Vacuum Cleaners,5,36,"$125,025"
,3639,"Household Appliances, Nec",6,54,"$1,534,140"
,3641,Electric Lamps,16,96,"$636,037"
,3643,Current-carrying Wiring Devices,61,433,"$3,911,704"
,3644,Noncurrent-carrying Wiring Devices,18,142,"$2,185,844"
,3645,Residential Lighting Fixtures,20,166,"$3,961,753"
,3646,Commercial Lighting Fixtures,27,195,"$2,235,268"
,3647,Vehicular Lighting Equipment,13,88,"$578,513"
,3648,"Lighting Equipment, Nec",13,95,"$704,837"
,3651,Household Audio And Video Equipment,18,118,"$2,086,346"
,3652,Prerecorded Records And Tapes,7,51,"$761,995"
,3661,Telephone And Telegraph Apparatus,14,86,"$292,182"
,3663,Radio & Tv Communications Equipment,33,236,"$2,415,284"
,3669,"Communications Equipment, Nec",14,103,"$752,462"
,3671,Electron Tubes,5,36,"$751,673"
,3672,Printed Circuit Boards,106,818,"$9,974,338"
,3674,Semiconductors And Related Devices,77,575,"$14,784,325"
,3675,Electronic Capacitors,21,158,"$1,526,060"
,3676,Electronic Resistors,6,54,"$404,135"
,3677,Electronic Coils And Transformers,19,150,"$1,616,387"
,3678,Electronic Connectors,25,181,"$1,555,926"
,3679,"Electronic Components, Nec",152,"1,075","$23,860,119"
,3691,Storage Batteries,36,262,"$8,497,034"
,3692,"Primary Batteries, Dry And Wet",19,136,"$3,186,872"
,3694,Engine Electrical Equipment,25,199,"$3,293,769"
,3695,Magnetic And Optical Recording Media,9,72,"$1,249,105"
,3699,"Electrical Equipment & Supplies, Nec",36,252,"$2,379,797"
,3711,Motor Vehicles And Car Bodies,58,459,"$10,745,202"
,3713,Truck And Bus Bodies,63,512,"$5,676,677"
,3714,Motor Vehicle Parts And Accessories,493,"3,905","$76,158,937"
,3715,Truck Trailers,28,208,"$1,679,967"
,3716,Motor Homes,9,86,"$556,409"
,3721,Aircraft,26,210,"$3,442,511"
,3724,Aircraft Engines And Engine Parts,81,582,"$7,963,538"
,3728,"Aircraft Parts And Equipment, Nec",212,"1,539","$20,947,459"
,3731,Ship Building And Repairing,33,245,"$2,773,846"
,3732,Boat Building And Repairing,71,522,"$7,917,913"
,3743,Railroad Equipment,31,251,"$3,203,755"
,3751,"Motorcycles, Bicycles, And Parts",8,55,"$383,159"
,3761,Guided Missiles And Space Vehicles,1,9,"$42,674"
,3764,Space Propulsion Units And Parts,8,54,"$2,022,039"
