ID,CENTER,FY,SIC,NAICS,STATE,SALES,EMPLOYEES,PLANT_AREA,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,EC_plant_cost,EC_plant_usage,ED_plant_cost,ED_plant_usage,EF_plant_cost,E2_plant_cost,E2_plant_usage,E3_plant_cost,E3_plant_usage,E4_plant_cost,E4_plant_usage,E5_plant_cost,E5_plant_usage,E6_plant_cost,E6_plant_usage,E7_plant_cost,E7_plant_usage,E8_plant_cost,E8_plant_usage,E9_plant_cost,E9_plant_usage,E10_plant_cost,E10_plant_usage,E11_plant_cost,E11_plant_usage,E12_plant_cost,E12_plant_usage,W0_plant_cost,W0_plant_usage,W1_plant_cost,W1_plant_usage,W2_plant_cost,W2_plant_usage,W3_plant_cost,W3_plant_usage,W4_plant_cost,W4_plant_usage,W5_plant_cost,W5_plant_usage,W6_plant_cost,W6_plant_usage
AM0057,AM,1989.0,2531.0,,TX,2500000.0,98.0,,FURNITURE FOR CHURCHES,6.0,76.0,2159.0,7.0,84831.0,1301876.0,,,,22362.0,5359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0058,AM,1989.0,2679.0,,TX,2000000.0,20.0,,PAPER FIBER INSULATION,1.0,300000.0,2000.0,3.0,44711.0,453986.0,,,,,,,,,,,,,,,,,,,,,,,,4500.0,563.0,,,,,,,,,,,,,,
AM0059,AM,1989.0,3449.0,,TX,7000000.0,50.0,,STEEL,3.0,10000.0,2016.0,9.0,34163.0,396542.0,,,,10374.0,2511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0060,AM,1989.0,3479.0,,TX,7000000.0,69.0,,STEEL CASING AND TUBING,3.0,6600.0,4144.0,8.0,301358.0,6276671.0,,,,562325.0,178887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0061,AM,1989.0,2653.0,,TX,17000000.0,117.0,,CORRUGATED CONTAINERS,6.0,6000.0,6600.0,9.0,217470.0,4346131.0,,,,158500.0,43227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0062,AM,1989.0,3533.0,,TX,10000000.0,75.0,,OILFIELD VALVES & EQUIPMENT,1.0,500.0,2912.0,8.0,40591.0,625147.0,,,,7335.0,1626.0,,,,,,,,,,,,,,,,,,,6240.0,811.0,,,,,,,,,,,,,,
AM0063,AM,1989.0,3492.0,,TX,6000000.0,50.0,,PRESSURE CONTROL EQUIPMENT,1.0,47000.0,2142.0,7.0,110381.0,1871923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0064,AM,1989.0,3494.0,,TX,13000000.0,115.0,,PLASTIC LINED PIPES,6.0,144.0,6000.0,11.0,261894.0,4370457.0,,,,16368.0,3426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0065,AM,1989.0,3571.0,,TX,33000000.0,480.0,,COMPUTER CONTROL SYSTEMS,,,2024.0,6.0,332736.0,6885991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0066,AM,1989.0,3061.0,,TX,12000000.0,15.0,,RUBBER OIL-WELL EQUIPMENT,1.0,11100.0,4583.0,6.0,89599.0,1361958.0,,,,19812.0,4140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0067,AM,1989.0,2261.0,,TX,12000000.0,400.0,,STONE-WASHED JEANS,1.0,7000000.0,7292.0,8.0,244958.0,4470985.0,,,,337134.0,122259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0068,AM,1989.0,3452.0,,TX,14500000.0,127.0,,"RING GASKETS,BOLTS,NUTS",,,4342.0,6.0,221183.0,4791911.0,,,,159781.0,33770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0069,AM,1989.0,3823.0,,TX,35000000.0,420.0,,ELECTRONIC FLOW COMPUTERS,,,4538.0,7.0,562737.0,11094080.0,,,,43890.0,9306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0070,AM,1989.0,3823.0,,TX,30000000.0,275.0,,INDUSTR. MICROPROCESSORS,1.0,5000.0,2288.0,5.0,167607.0,3395956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0071,AM,1989.0,3546.0,,TX,40000000.0,290.0,,PNEUMATIC HAND TOOLS,,,8400.0,7.0,361428.0,8204865.0,,,,130139.0,28212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0072,AM,1989.0,3533.0,,TX,65000000.0,150.0,,OIL FIELD TOOLS,,,5042.0,9.0,370650.0,8521981.0,,,,94618.0,20182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0073,AM,1989.0,2952.0,,TX,15000000.0,75.0,,ASPHALT ROOFING SHINGLES,1.0,1080000.0,3296.0,7.0,119672.0,2199883.0,,,,200898.0,60541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0074,AM,1989.0,3053.0,,TX,16500000.0,250.0,,RUBBER SHEETING,,,4225.0,7.0,295400.0,5823564.0,,,,70921.0,24969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0075,AM,1989.0,2096.0,,TX,7000000.0,85.0,,POTATO & CORN CHIPS,2.0,3000000.0,6000.0,9.0,146411.0,2677022.0,,,,59830.0,19608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0076,AM,1990.0,3479.0,,TX,10000000.0,80.0,,PIPECOATING,6.0,9038.0,2400.0,5.0,269266.0,3456917.0,,,,29923.0,8238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0077,AM,1990.0,3498.0,,TX,1500000.0,27.0,,OIL FIELD TUBING,,,2000.0,6.0,71548.0,1092028.0,,,,274763.0,78754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0078,AM,1990.0,2752.0,,TX,25000000.0,250.0,,COMMERCIAL PRINTING,2.0,11600000.0,5976.0,4.0,404260.0,8257034.0,,,,61005.0,12672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0079,AM,1990.0,3433.0,,TX,12500000.0,103.0,,HEAT EXCHANGERS,,,8568.0,8.0,90870.0,1468054.0,,,,25861.0,5475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0080,AM,1990.0,3547.0,,TX,7000000.0,65.0,,ROLLING MILL MACHINERY,,,4000.0,8.0,103553.0,1694021.0,,,,37182.0,7290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0081,AM,1990.0,3443.0,,TX,10000000.0,150.0,,CUSTOM MACHINE SHOP,,,4900.0,6.0,146572.0,2748535.0,,,,46486.0,17363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
